23670749739,16275531095,24369577514,28369184769,24300983600,18708639267,21864985876,16033766295,26148585189,21690826178
31269885434,21048502673,33003192277,33440261925,34003919689,28610706731,32957661257,23230482676,33711624114,26392649841
29294093732,21204326558,29738464827,30265482462,32036489882,19483152519,37656873177,20998391134,27865799622,22888625256
29723325203,19086198869,27238085935,28082272853,25585066537,24544079505,27707429804,19295781240,27108624302,25131354558
29165151147,20715907238,28041246386,29820845331,33781187639,25058337864,30821408875,18548572625,32739482127,20881864922
28880469751,22876463252,30589518391,33561273382,36934766239,27534232239,32622454912,20981341325,34559681559,23974223747
35805721474,28093879949,43947700560,40499607457,41383237814,35690142121,37111027769,26573329125,41125613581,32252785887
20807651590,17143938850,24972017747,24674218032,27438701057,14297855605,21777865293,14142131088,22104903986,13446053416
24272088886,16724677808,26923091260,26382035191,30416113831,19262548165,25402787295,15990607644,28640821458,19650562923
33223720159,26016511438,32225552933,33379059742,30546891193,30849584967,32114867984,21396479289,32887468593,27544743495
